id_registro,nivel_territorial,pais,codigo_iso_pais,departamento_region,ciudad_municipio,tipo_plataforma,categoria_servicio,plataforma_principal,edad,genero,nivel_educativo,antiguedad_meses,horas_semanales,ingreso_bruto_mensual_cop,costos_operativos_mensuales_cop,ingreso_neto_mensual_cop,ingreso_neto_hora_usd,dependencia_ingresos,afiliacion_salud,afiliacion_pension,cuenta_con_arl,calificacion_promedio_app,fecha_registro,anio,mes,fuente_origen_id
GIG-00033,Global,Brasil,BRA,Sao Paulo,Sao Paulo,En linea / Basada en la Nube,Desarrollo de Software y TI,Workana,31,Femenino,Posgrado,8,18.3,5513600,661600,4851900,15.12,Fuente complementaria / Secundaria (<50%),No afiliado / Ninguno,No cotiza,Si (Afiliado a Riesgos Laborales),4.45,2022-08-29,2022,8,F-TER-01
GIG-00034,Regional,Colombia,COL,Antioquia,Medellin,Fisica / Basada en Ubicacion,Reparto y Domicilios,PedidosYa,34,Masculino,Secundaria / Bachillerato,4,54.2,2465900,880400,1585500,1.67,Unica fuente de ingresos (100%),No afiliado / Ninguno,No cotiza,No (Sin cobertura ARL),4.5,2024-09-10,2024,9,F-SEC-01
GIG-00035,Global,India,IND,Karnataka,Bengaluru,Fisica / Basada en Ubicacion,Reparto y Domicilios,Rappi,43,Masculino,Secundaria / Bachillerato,2,50.1,3602100,1152700,2449400,2.79,Unica fuente de ingresos (100%),Regimen Subsidiado,Cotiza activamente,No (Sin cobertura ARL),4.46,2025-08-31,2025,8,F-PRIM-02
GIG-00036,Regional,Colombia,COL,Antioquia,Medellin,Fisica / Basada en Ubicacion,Transporte de Pasajeros,Cabify,35,Masculino,Tecnico / Tecnologo,42,56.9,3735800,1585800,2150100,2.15,Fuente principal (>50%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),4.71,2021-07-24,2021,7,F-SEC-01
GIG-00037,Global,Brasil,BRA,Sao Paulo,Sao Paulo,En linea / Basada en la Nube,Servicios Profesionales y Asesoria,Workana,19,Masculino,Tecnico / Tecnologo,28,34.2,16094200,1931300,14162900,23.61,Fuente principal (>50%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),4.9,2024-09-27,2024,9,F-TER-01
GIG-00038,Regional,Colombia,COL,Antioquia,Medellin,Fisica / Basada en Ubicacion,Reparto y Domicilios,Mensajeros Urbanos,18,Femenino,Universitario,4,71.9,1095200,325800,769300,0.61,Unica fuente de ingresos (100%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),4.97,2021-08-07,2021,8,F-PRIM-01
GIG-00039,Nacional,Colombia,COL,Antioquia,Medellin,Fisica / Basada en Ubicacion,Transporte de Pasajeros,Cabify,43,Femenino,Secundaria / Bachillerato,1,43.9,2492400,1011600,1480900,1.92,Unica fuente de ingresos (100%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),4.86,2022-05-10,2022,5,F-SEC-01
GIG-00040,Global,India,IND,Karnataka,Bengaluru,En linea / Basada en la Nube,Diseno Multimedia y Contenido,Fiverr,29,Masculino,Tecnico / Tecnologo,5,16.1,1101800,132200,969600,3.43,Fuente principal (>50%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),4.59,2022-01-08,2022,1,F-TER-02
GIG-00041,Global,Chile,CHL,Santiago,Santiago,En linea / Basada en la Nube,Desarrollo de Software y TI,Fiverr,33,Masculino,Tecnico / Tecnologo,1,44.0,17703400,2124400,15579000,20.19,Fuente principal (>50%),Regimen Subsidiado,Cotiza activamente,No (Sin cobertura ARL),4.67,2022-06-11,2022,6,F-TER-01
GIG-00042,Global,India,IND,Karnataka,Bengaluru,En linea / Basada en la Nube,Desarrollo de Software y TI,Toptal,20,No binario / Otro,Tecnico / Tecnologo,61,27.4,7029200,843500,6185700,12.87,Fuente principal (>50%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.64,2022-08-24,2022,8,F-PRIM-02
GIG-00043,Global,Estados Unidos,USA,California,San Francisco,Fisica / Basada en Ubicacion,Transporte de Pasajeros,InDrive,26,Masculino,Tecnico / Tecnologo,15,35.3,22438000,7180200,15257800,24.65,Fuente complementaria / Secundaria (<50%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),4.92,2022-01-09,2022,1,F-PRIM-02
GIG-00044,Nacional,Colombia,COL,Antioquia,Medellin,Fisica / Basada en Ubicacion,Transporte de Pasajeros,DiDi,31,Masculino,Tecnico / Tecnologo,21,74.9,2779900,1428000,1351900,1.03,Unica fuente de ingresos (100%),No afiliado / Ninguno,No cotiza,No (Sin cobertura ARL),4.86,2024-10-23,2024,10,F-SEC-02
GIG-00045,Global,Mexico,MEX,Ciudad de Mexico,Ciudad de Mexico,Fisica / Basada en Ubicacion,Transporte de Pasajeros,DiDi,35,Masculino,Secundaria / Bachillerato,15,62.5,8518300,2725800,5792400,5.28,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.98,2021-09-09,2021,9,F-PRIM-02
GIG-00046,Global,Brasil,BRA,Sao Paulo,Sao Paulo,En linea / Basada en la Nube,Diseno Multimedia y Contenido,Workana,26,Masculino,Universitario,1,40.7,11389200,1366700,10022500,14.04,Unica fuente de ingresos (100%),No afiliado / Ninguno,Cotiza activamente,No (Sin cobertura ARL),4.65,2024-08-27,2024,8,F-TER-01
GIG-00047,Regional,Colombia,COL,Bogota D.C.,Bogota,En linea / Basada en la Nube,Diseno Multimedia y Contenido,Upwork,34,Femenino,Universitario,4,54.0,3299900,305500,2994400,3.16,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.93,2021-01-20,2021,1,F-SEC-01
GIG-00048,Global,India,IND,Karnataka,Bengaluru,Fisica / Basada en Ubicacion,Reparto y Domicilios,Rappi,30,Masculino,Tecnico / Tecnologo,4,50.2,3336300,1067600,2268700,2.58,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.63,2021-08-26,2021,8,F-TER-02
GIG-00049,Global,Chile,CHL,Santiago,Santiago,En linea / Basada en la Nube,Servicios Profesionales y Asesoria,Guru,19,Masculino,Universitario,8,41.7,14857200,1782900,13074300,17.88,Unica fuente de ingresos (100%),No afiliado / Ninguno,Cotiza activamente,Si (Afiliado a Riesgos Laborales),4.92,2024-02-12,2024,2,F-PRIM-02
GIG-00050,Regional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Transporte de Pasajeros,Uber,39,Masculino,Tecnico / Tecnologo,3,38.6,2503300,1020400,1482900,2.19,Fuente principal (>50%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),4.51,2021-11-23,2021,11,F-SEC-01
GIG-00051,Regional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Reparto y Domicilios,iFood,33,Femenino,Secundaria / Bachillerato,6,39.3,1397700,359400,1038400,1.51,Fuente principal (>50%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.92,2022-03-26,2022,3,F-SEC-01
GIG-00052,Nacional,Colombia,COL,Antioquia,Medellin,Fisica / Basada en Ubicacion,Transporte de Pasajeros,InDrive,18,Femenino,Universitario,27,42.7,2245000,795800,1449200,1.94,Fuente complementaria / Secundaria (<50%),Regimen Contributivo (Cotizante),Cotiza activamente,Si (Afiliado a Riesgos Laborales),4.88,2024-08-03,2024,8,F-SEC-01
GIG-00053,Regional,Colombia,COL,Antioquia,Medellin,Fisica / Basada en Ubicacion,Transporte de Pasajeros,DiDi,24,Masculino,Tecnico / Tecnologo,1,55.1,2120200,761000,1359200,1.41,Unica fuente de ingresos (100%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),4.73,2023-07-09,2023,7,F-PRIM-01
GIG-00054,Global,Argentina,ARG,Buenos Aires,Buenos Aires,Fisica / Basada en Ubicacion,Transporte de Pasajeros,Cabify,24,Masculino,Universitario,1,50.8,4426800,1416600,3010200,3.38,Fuente complementaria / Secundaria (<50%),Regimen Subsidiado,No cotiza,Si (Afiliado a Riesgos Laborales),4.75,2024-01-10,2024,1,F-PRIM-02
GIG-00055,Nacional,Colombia,COL,Atlantico,Barranquilla,Fisica / Basada en Ubicacion,Reparto y Domicilios,Rappi,23,Masculino,Secundaria / Bachillerato,8,57.7,1201800,337100,864600,0.85,Unica fuente de ingresos (100%),No afiliado / Ninguno,No cotiza,No (Sin cobertura ARL),4.75,2023-01-26,2023,1,F-SEC-01
GIG-00056,Global,Mexico,MEX,Ciudad de Mexico,Ciudad de Mexico,En linea / Basada en la Nube,Diseno Multimedia y Contenido,Workana,34,Masculino,Universitario,24,33.8,4034200,484100,3550100,5.99,Fuente complementaria / Secundaria (<50%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),4.66,2021-08-13,2021,8,F-TER-01
GIG-00057,Global,Chile,CHL,Santiago,Santiago,En linea / Basada en la Nube,Diseno Multimedia y Contenido,Upwork,24,Femenino,Universitario,13,19.6,6945400,833500,6112000,17.78,Fuente complementaria / Secundaria (<50%),Regimen Contributivo (Cotizante),No cotiza,Si (Afiliado a Riesgos Laborales),4.7,2024-05-10,2024,5,F-PRIM-02
GIG-00058,Regional,Colombia,COL,Antioquia,Medellin,Fisica / Basada en Ubicacion,Reparto y Domicilios,Rappi,34,Masculino,Universitario,7,66.1,1924200,618100,1306100,1.13,Fuente complementaria / Secundaria (<50%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),4.75,2026-05-30,2026,5,F-SEC-01
GIG-00059,Nacional,Colombia,COL,Antioquia,Medellin,Fisica / Basada en Ubicacion,Reparto y Domicilios,Mensajeros Urbanos,30,Masculino,Posgrado,11,49.8,1371200,505300,865900,0.99,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.77,2024-03-02,2024,3,F-PRIM-01
GIG-00060,Global,Espana,ESP,Madrid,Madrid,Fisica / Basada en Ubicacion,Reparto y Domicilios,DiDi Food,26,Masculino,Secundaria / Bachillerato,54,59.5,33418200,10693800,22724400,21.78,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,Si (Afiliado a Riesgos Laborales),4.44,2025-09-08,2025,9,F-PRIM-02
GIG-00061,Global,India,IND,Karnataka,Bengaluru,Fisica / Basada en Ubicacion,Reparto y Domicilios,Mensajeros Urbanos,38,Masculino,Secundaria / Bachillerato,47,56.0,4285000,1371200,2913800,2.97,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),4.24,2021-04-02,2021,4,F-TER-02
GIG-00062,Global,Chile,CHL,Santiago,Santiago,En linea / Basada en la Nube,Diseno Multimedia y Contenido,Upwork,33,Masculino,Universitario,2,36.8,9558900,1147100,8411800,13.03,Fuente principal (>50%),Regimen Subsidiado,Cotiza activamente,No (Sin cobertura ARL),4.79,2022-10-10,2022,10,F-TER-01
GIG-00063,Nacional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Reparto y Domicilios,PedidosYa,18,Masculino,Secundaria / Bachillerato,54,41.7,1964500,696100,1268400,1.73,Fuente principal (>50%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),4.95,2025-10-24,2025,10,F-SEC-02
GIG-00064,Regional,Colombia,COL,Antioquia,Medellin,Fisica / Basada en Ubicacion,Reparto y Domicilios,PedidosYa,47,Femenino,Universitario,42,66.9,1321400,386300,935100,0.8,Unica fuente de ingresos (100%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),4.95,2022-12-02,2022,12,F-PRIM-01
GIG-00065,Regional,Colombia,COL,Santander,Bucaramanga,Fisica / Basada en Ubicacion,Reparto y Domicilios,DiDi Food,36,Masculino,Secundaria / Bachillerato,1,33.0,1102300,297800,804500,1.39,Unica fuente de ingresos (100%),No afiliado / Ninguno,No cotiza,No (Sin cobertura ARL),4.96,2024-08-15,2024,8,F-PRIM-01
GIG-00066,Regional,Colombia,COL,Bolivar,Cartagena,Fisica / Basada en Ubicacion,Transporte de Pasajeros,DiDi,30,Masculino,Secundaria / Bachillerato,13,42.7,3320500,1457700,1862800,2.49,Unica fuente de ingresos (100%),No afiliado / Ninguno,No cotiza,No (Sin cobertura ARL),4.81,2025-12-08,2025,12,F-SEC-01
GIG-00067,Nacional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Reparto y Domicilios,iFood,43,Masculino,Tecnico / Tecnologo,22,65.1,1954200,505500,1448700,1.27,Unica fuente de ingresos (100%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),4.7,2023-09-22,2023,9,F-SEC-01
GIG-00068,Global,Brasil,BRA,Sao Paulo,Sao Paulo,En linea / Basada en la Nube,Microtareas y Etiquetado de Datos,Remotasks,33,Femenino,Universitario,6,35.8,7524000,902900,6621200,10.55,Fuente principal (>50%),Regimen Subsidiado,Cotiza activamente,Si (Afiliado a Riesgos Laborales),,2025-07-10,2025,7,F-TER-01
GIG-00069,Nacional,Colombia,COL,Antioquia,Medellin,En linea / Basada en la Nube,Diseno Multimedia y Contenido,99designs,20,Masculino,Secundaria / Bachillerato,8,49.2,1400000,137300,1262700,1.46,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),Cotiza activamente,Si (Afiliado a Riesgos Laborales),4.94,2023-07-19,2023,7,F-SEC-02
GIG-00070,Global,Mexico,MEX,Ciudad de Mexico,Ciudad de Mexico,En linea / Basada en la Nube,Servicios Profesionales y Asesoria,Guru,38,Femenino,Universitario,8,50.1,14481700,1737800,12743900,14.51,Fuente principal (>50%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),4.96,2024-08-28,2024,8,F-TER-01
GIG-00071,Regional,Colombia,COL,Valle del Cauca,Cali,Fisica / Basada en Ubicacion,Servicios del Hogar y Mantenimiento,Habitissimo,36,Masculino,Primaria,6,59.9,2155700,383400,1772300,1.69,Fuente complementaria / Secundaria (<50%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),4.42,2022-03-30,2022,3,F-SEC-01
GIG-00072,Global,India,IND,Karnataka,Bengaluru,Fisica / Basada en Ubicacion,Transporte de Pasajeros,Uber,18,Masculino,Secundaria / Bachillerato,18,60.1,5935000,1899200,4035800,3.83,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),4.76,2024-08-13,2024,8,F-PRIM-02
GIG-00073,Regional,Colombia,COL,Caldas,Manizales,En linea / Basada en la Nube,Desarrollo de Software y TI,Toptal,37,Masculino,Universitario,12,36.4,4881800,541500,4340300,6.8,Fuente complementaria / Secundaria (<50%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),4.87,2025-05-31,2025,5,F-SEC-01
GIG-00074,Nacional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Reparto y Domicilios,Rappi,29,Masculino,Secundaria / Bachillerato,4,67.2,2405400,896400,1509100,1.28,Unica fuente de ingresos (100%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),4.54,2021-07-25,2021,7,F-SEC-01
GIG-00075,Nacional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Reparto y Domicilios,Mensajeros Urbanos,21,Masculino,Tecnico / Tecnologo,1,75.7,2268700,628500,1640100,1.24,Unica fuente de ingresos (100%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),4.73,2022-05-31,2022,5,F-PRIM-01
GIG-00076,Regional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Transporte de Pasajeros,Cabify,27,Masculino,Secundaria / Bachillerato,6,67.3,3964600,2053500,1911100,1.62,Unica fuente de ingresos (100%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),4.97,2021-09-22,2021,9,F-SEC-02
