id_registro,nivel_territorial,pais,codigo_iso_pais,departamento_region,ciudad_municipio,tipo_plataforma,categoria_servicio,plataforma_principal,edad,genero,nivel_educativo,antiguedad_meses,horas_semanales,ingreso_bruto_mensual_cop,costos_operativos_mensuales_cop,ingreso_neto_mensual_cop,ingreso_neto_hora_usd,dependencia_ingresos,afiliacion_salud,afiliacion_pension,cuenta_con_arl,calificacion_promedio_app,fecha_registro,anio,mes,fuente_origen_id
GIG-00015,Global,Brasil,BRA,Sao Paulo,Sao Paulo,En linea / Basada en la Nube,Diseno Multimedia y Contenido,Freelancer,23,Masculino,Universitario,37,36.9,14723300,1766800,12956500,20.02,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.53,2022-04-20,2022,4,F-PRIM-02
GIG-00016,Nacional,Colombia,COL,Valle del Cauca,Cali,En linea / Basada en la Nube,Diseno Multimedia y Contenido,99designs,36,Masculino,Universitario,23,53.2,3149400,285500,2863900,3.07,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.92,2023-08-07,2023,8,F-SEC-01
GIG-00017,Global,Mexico,MEX,Ciudad de Mexico,Ciudad de Mexico,En linea / Basada en la Nube,Servicios Profesionales y Asesoria,Fiverr,37,Masculino,Tecnico / Tecnologo,4,22.6,7626700,915200,6711500,16.93,Fuente complementaria / Secundaria (<50%),Regimen Contributivo (Cotizante),No cotiza,Si (Afiliado a Riesgos Laborales),4.84,2024-01-26,2024,1,F-TER-01
GIG-00018,Global,Argentina,ARG,Buenos Aires,Buenos Aires,Fisica / Basada en Ubicacion,Reparto y Domicilios,PedidosYa,41,Masculino,Tecnico / Tecnologo,23,43.6,4650100,1488000,3162100,4.14,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.79,2022-04-09,2022,4,F-PRIM-02
GIG-00019,Global,India,IND,Karnataka,Bengaluru,En linea / Basada en la Nube,Servicios Profesionales y Asesoria,Upwork,36,Femenino,Secundaria / Bachillerato,8,25.5,8132000,975800,7156200,16.0,Fuente principal (>50%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),4.89,2023-05-28,2023,5,F-TER-01
GIG-00020,Nacional,Colombia,COL,Valle del Cauca,Cali,En linea / Basada en la Nube,Servicios Profesionales y Asesoria,Workana,34,Masculino,Universitario,1,20.4,5470600,646500,4824100,13.48,Fuente principal (>50%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.96,2024-04-14,2024,4,F-SEC-01
GIG-00021,Regional,Colombia,COL,Atlantico,Barranquilla,En linea / Basada en la Nube,Diseno Multimedia y Contenido,Fiverr,26,Femenino,Universitario,17,47.7,3367600,292600,3075000,3.68,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),Cotiza activamente,Si (Afiliado a Riesgos Laborales),4.95,2023-12-19,2023,12,F-SEC-01
GIG-00022,Global,Estados Unidos,USA,California,San Francisco,En linea / Basada en la Nube,Desarrollo de Software y TI,Toptal,29,Femenino,Tecnico / Tecnologo,1,46.8,40039700,4804800,35234900,42.93,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,Si (Afiliado a Riesgos Laborales),4.75,2025-04-16,2025,4,F-TER-01
GIG-00023,Regional,Colombia,COL,Valle del Cauca,Cali,Fisica / Basada en Ubicacion,Reparto y Domicilios,iFood,19,Masculino,Tecnico / Tecnologo,5,61.5,1648300,440000,1208300,1.12,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.95,2025-02-06,2025,2,F-SEC-01
GIG-00024,Regional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Transporte de Pasajeros,DiDi,36,Masculino,Tecnico / Tecnologo,5,54.0,3011400,1299000,1712400,1.81,Unica fuente de ingresos (100%),No afiliado / Ninguno,No cotiza,No (Sin cobertura ARL),4.76,2024-11-20,2024,11,F-SEC-02
GIG-00025,Regional,Colombia,COL,Antioquia,Medellin,Fisica / Basada en Ubicacion,Transporte de Pasajeros,Cabify,27,Masculino,Tecnico / Tecnologo,47,68.2,3067300,1417900,1649400,1.38,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.9,2025-01-01,2025,1,F-SEC-02
GIG-00026,Global,Brasil,BRA,Sao Paulo,Sao Paulo,Fisica / Basada en Ubicacion,Transporte de Pasajeros,InDrive,37,Femenino,Primaria,22,57.7,7362100,2355900,5006200,4.95,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.98,2022-11-06,2022,11,F-PRIM-02
GIG-00027,Nacional,Colombia,COL,Santander,Bucaramanga,Fisica / Basada en Ubicacion,Reparto y Domicilios,DiDi Food,38,Masculino,Tecnico / Tecnologo,14,59.1,1529000,502800,1026200,0.99,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.64,2022-11-21,2022,11,F-PRIM-01
GIG-00028,Nacional,Colombia,COL,Santander,Bucaramanga,Fisica / Basada en Ubicacion,Reparto y Domicilios,Rappi,26,Masculino,Secundaria / Bachillerato,7,39.9,1671600,579000,1092600,1.56,Fuente principal (>50%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.93,2024-02-17,2024,2,F-PRIM-01
GIG-00029,Nacional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Reparto y Domicilios,PedidosYa,20,Femenino,Universitario,7,53.1,2130700,566300,1564400,1.68,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.81,2023-11-20,2023,11,F-PRIM-01
GIG-00030,Regional,Colombia,COL,Atlantico,Barranquilla,Fisica / Basada en Ubicacion,Reparto y Domicilios,DiDi Food,38,Masculino,Tecnico / Tecnologo,8,51.4,1471300,541300,930000,1.03,Unica fuente de ingresos (100%),No afiliado / Ninguno,No cotiza,No (Sin cobertura ARL),4.96,2021-09-30,2021,9,F-SEC-01
GIG-00031,Regional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Servicios del Hogar y Mantenimiento,Habitissimo,40,Masculino,Secundaria / Bachillerato,17,61.9,2031200,413100,1618100,1.49,Fuente complementaria / Secundaria (<50%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.72,2024-11-16,2024,11,F-SEC-01
GIG-00032,Nacional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Transporte de Pasajeros,DiDi,32,Masculino,Secundaria / Bachillerato,3,64.9,2456900,1145200,1311700,1.15,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.77,2026-01-29,2026,1,F-PRIM-01
GIG-00033,Regional,Colombia,COL,Santander,Bucaramanga,Fisica / Basada en Ubicacion,Transporte de Pasajeros,Cabify,26,Masculino,Secundaria / Bachillerato,19,46.1,3371800,1192700,2179100,2.7,Fuente principal (>50%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.1,2026-02-22,2026,2,F-SEC-01
GIG-00034,Regional,Colombia,COL,Atlantico,Barranquilla,Fisica / Basada en Ubicacion,Reparto y Domicilios,Rappi,42,Masculino,Secundaria / Bachillerato,13,42.6,1631700,459000,1172700,1.57,Fuente principal (>50%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.86,2023-09-28,2023,9,F-SEC-01
GIG-00035,Regional,Colombia,COL,Antioquia,Medellin,En linea / Basada en la Nube,Diseno Multimedia y Contenido,Fiverr,26,Femenino,Secundaria / Bachillerato,17,21.7,2886800,425000,2461800,6.47,Fuente complementaria / Secundaria (<50%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.97,2026-02-20,2026,2,F-SEC-02
GIG-00036,Regional,Colombia,COL,Risaralda,Pereira,En linea / Basada en la Nube,Diseno Multimedia y Contenido,Workana,28,Masculino,Secundaria / Bachillerato,10,27.3,1400000,116600,1283400,2.68,Fuente principal (>50%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.88,2021-09-22,2021,9,F-SEC-01
GIG-00037,Global,Espana,ESP,Madrid,Madrid,Fisica / Basada en Ubicacion,Reparto y Domicilios,Mensajeros Urbanos,43,Masculino,Secundaria / Bachillerato,2,59.8,37949100,12143700,25805400,24.61,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),Cotiza activamente,Si (Afiliado a Riesgos Laborales),4.99,2022-05-17,2022,5,F-TER-02
GIG-00038,Regional,Colombia,COL,Antioquia,Medellin,Fisica / Basada en Ubicacion,Reparto y Domicilios,PedidosYa,26,Masculino,Universitario,32,72.7,1828800,572400,1256400,0.99,Unica fuente de ingresos (100%),No afiliado / Ninguno,No cotiza,No (Sin cobertura ARL),4.73,2023-10-16,2023,10,F-PRIM-01
GIG-00039,Global,India,IND,Karnataka,Bengaluru,Fisica / Basada en Ubicacion,Transporte de Pasajeros,Cabify,42,Femenino,Tecnico / Tecnologo,23,63.4,5771600,1846900,3924700,3.53,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),Cotiza activamente,Si (Afiliado a Riesgos Laborales),4.97,2024-10-08,2024,10,F-PRIM-02
GIG-00040,Nacional,Colombia,COL,Antioquia,Medellin,Fisica / Basada en Ubicacion,Transporte de Pasajeros,InDrive,27,Femenino,Universitario,8,41.7,3132400,1249500,1882900,2.57,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.82,2023-01-02,2023,1,F-SEC-01
GIG-00041,Regional,Colombia,COL,Bogota D.C.,Bogota,En linea / Basada en la Nube,Microtareas y Etiquetado de Datos,Appen,27,Masculino,Tecnico / Tecnologo,6,36.0,500000,33200,466800,0.74,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),4.83,2022-10-15,2022,10,F-SEC-01
GIG-00042,Regional,Colombia,COL,Antioquia,Medellin,Fisica / Basada en Ubicacion,Reparto y Domicilios,Rappi,29,Masculino,Secundaria / Bachillerato,11,57.3,1553700,587000,966700,0.96,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.98,2023-06-15,2023,6,F-SEC-02
GIG-00043,Regional,Colombia,COL,Bolivar,Cartagena,Fisica / Basada en Ubicacion,Reparto y Domicilios,Mensajeros Urbanos,37,Masculino,Secundaria / Bachillerato,8,46.2,1407700,528300,879400,1.09,Unica fuente de ingresos (100%),No afiliado / Ninguno,No cotiza,No (Sin cobertura ARL),4.87,2021-08-19,2021,8,F-PRIM-01
GIG-00044,Regional,Colombia,COL,Antioquia,Medellin,En linea / Basada en la Nube,Desarrollo de Software y TI,Freelancer,29,Masculino,Universitario,22,40.4,4841000,761400,4079600,5.76,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.77,2025-11-19,2025,11,F-SEC-01
GIG-00045,Regional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Transporte de Pasajeros,InDrive,27,Masculino,Tecnico / Tecnologo,11,62.7,2241400,960800,1280600,1.16,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.68,2023-09-16,2023,9,F-PRIM-01
GIG-00046,Nacional,Colombia,COL,Caldas,Manizales,Fisica / Basada en Ubicacion,Reparto y Domicilios,Mensajeros Urbanos,36,Masculino,Secundaria / Bachillerato,6,62.2,1102300,364500,737800,0.68,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.67,2026-02-14,2026,2,F-PRIM-01
GIG-00047,Nacional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Reparto y Domicilios,iFood,23,Femenino,Tecnico / Tecnologo,18,61.9,1102400,345800,756600,0.7,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.93,2026-05-09,2026,5,F-PRIM-01
GIG-00048,Regional,Colombia,COL,Valle del Cauca,Cali,En linea / Basada en la Nube,Diseno Multimedia y Contenido,Workana,26,Femenino,Universitario,26,38.8,3561600,431300,3130300,4.6,Fuente complementaria / Secundaria (<50%),Regimen Contributivo (Cotizante),Cotiza activamente,Si (Afiliado a Riesgos Laborales),4.83,2025-07-29,2025,7,F-SEC-02
GIG-00049,Regional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Reparto y Domicilios,iFood,39,Masculino,Secundaria / Bachillerato,19,33.2,2291800,715500,1576300,2.71,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.71,2021-07-21,2021,7,F-SEC-01
GIG-00050,Regional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Transporte de Pasajeros,InDrive,33,Masculino,Tecnico / Tecnologo,19,46.2,3603800,1536200,2067600,2.55,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.72,2023-12-31,2023,12,F-PRIM-01
GIG-00051,Global,Argentina,ARG,Buenos Aires,Buenos Aires,En linea / Basada en la Nube,Diseno Multimedia y Contenido,Workana,37,Masculino,Universitario,6,33.8,10526400,1263200,9263200,15.63,Fuente principal (>50%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.99,2021-04-14,2021,4,F-TER-01
GIG-00052,Regional,Colombia,COL,Atlantico,Barranquilla,En linea / Basada en la Nube,Desarrollo de Software y TI,Upwork,29,Masculino,Tecnico / Tecnologo,18,20.5,3044300,542100,2502200,6.96,Fuente principal (>50%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),4.85,2025-08-11,2025,8,F-SEC-02
GIG-00053,Regional,Colombia,COL,Bolivar,Cartagena,Fisica / Basada en Ubicacion,Reparto y Domicilios,PedidosYa,29,Masculino,Secundaria / Bachillerato,25,59.0,1633500,489100,1144400,1.11,Unica fuente de ingresos (100%),No afiliado / Ninguno,No cotiza,No (Sin cobertura ARL),4.95,2022-09-12,2022,9,F-PRIM-01
GIG-00054,Global,Mexico,MEX,Ciudad de Mexico,Ciudad de Mexico,En linea / Basada en la Nube,Servicios Profesionales y Asesoria,Upwork,31,Femenino,Tecnico / Tecnologo,2,14.9,1516500,182000,1334500,5.11,Fuente complementaria / Secundaria (<50%),Regimen Contributivo (Cotizante),Cotiza activamente,Si (Afiliado a Riesgos Laborales),4.83,2021-03-22,2021,3,F-TER-02
GIG-00055,Regional,Colombia,COL,Valle del Cauca,Cali,Fisica / Basada en Ubicacion,Transporte de Pasajeros,DiDi,30,Masculino,Secundaria / Bachillerato,4,43.8,2758600,1174800,1583800,2.06,Fuente complementaria / Secundaria (<50%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.74,2023-07-15,2023,7,F-SEC-01
GIG-00056,Global,Brasil,BRA,Sao Paulo,Sao Paulo,En linea / Basada en la Nube,Microtareas y Etiquetado de Datos,Clickworker,31,Masculino,Tecnico / Tecnologo,2,20.8,8253600,990400,7263200,19.91,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),4.97,2025-01-22,2025,1,F-PRIM-02
GIG-00057,Regional,Colombia,COL,Antioquia,Medellin,En linea / Basada en la Nube,Microtareas y Etiquetado de Datos,Clickworker,29,Masculino,Universitario,28,28.0,879300,56800,822500,1.68,Fuente complementaria / Secundaria (<50%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.97,2026-05-27,2026,5,F-SEC-01
GIG-00058,Regional,Colombia,COL,Santander,Bucaramanga,Fisica / Basada en Ubicacion,Reparto y Domicilios,Rappi,31,Masculino,Universitario,3,53.7,1354600,433600,921000,0.98,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.81,2022-05-31,2022,5,F-SEC-02
GIG-00059,Regional,Colombia,COL,Atlantico,Barranquilla,En linea / Basada en la Nube,Microtareas y Etiquetado de Datos,Remotasks,33,Masculino,Tecnico / Tecnologo,10,42.1,1123500,66000,1057500,1.43,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),Cotiza activamente,Si (Afiliado a Riesgos Laborales),4.87,2023-11-01,2023,11,F-SEC-01
GIG-00060,Regional,Colombia,COL,Valle del Cauca,Cali,Fisica / Basada en Ubicacion,Reparto y Domicilios,PedidosYa,38,Masculino,Primaria,4,57.5,1777400,517600,1259800,1.25,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.75,2023-03-17,2023,3,F-PRIM-01
GIG-00061,Regional,Colombia,COL,Risaralda,Pereira,En linea / Basada en la Nube,Desarrollo de Software y TI,Fiverr,27,Masculino,Universitario,26,35.9,4498000,761600,3736400,5.93,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.68,2024-05-14,2024,5,F-SEC-02
GIG-00062,Global,Argentina,ARG,Buenos Aires,Buenos Aires,En linea / Basada en la Nube,Microtareas y Etiquetado de Datos,Amazon Mechanical Turk,28,Femenino,Tecnico / Tecnologo,13,16.8,2992000,359000,2633000,8.94,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.65,2022-02-09,2022,2,F-TER-02
GIG-00063,Global,Espana,ESP,Madrid,Madrid,En linea / Basada en la Nube,Desarrollo de Software y TI,Freelancer,19,Masculino,Universitario,7,47.1,43670600,5240500,38430100,46.53,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.88,2022-08-09,2022,8,F-TER-01
GIG-00064,Regional,Colombia,COL,Antioquia,Medellin,En linea / Basada en la Nube,Microtareas y Etiquetado de Datos,Appen,28,Masculino,Universitario,8,10.4,967600,78400,889200,4.88,Fuente complementaria / Secundaria (<50%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),4.65,2022-03-29,2022,3,F-SEC-02
GIG-00065,Regional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Reparto y Domicilios,Rappi,30,Femenino,Universitario,2,46.6,1201100,368200,832900,1.02,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),Cotiza activamente,Si (Afiliado a Riesgos Laborales),4.49,2025-03-07,2025,3,F-SEC-01
GIG-00066,Regional,Colombia,COL,Risaralda,Pereira,En linea / Basada en la Nube,Servicios Profesionales y Asesoria,Upwork,19,Masculino,Universitario,5,59.6,6338400,1260100,5078300,4.86,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.96,2022-06-25,2022,6,F-SEC-01
GIG-00067,Regional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Transporte de Pasajeros,DiDi,18,Masculino,Secundaria / Bachillerato,9,56.5,2888000,1296800,1591200,1.61,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.64,2021-12-08,2021,12,F-SEC-01
GIG-00068,Regional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Reparto y Domicilios,Mensajeros Urbanos,39,Masculino,Tecnico / Tecnologo,25,69.7,1316900,468300,848600,0.69,Fuente principal (>50%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.84,2026-03-08,2026,3,F-SEC-01
GIG-00069,Regional,Colombia,COL,Valle del Cauca,Cali,Fisica / Basada en Ubicacion,Transporte de Pasajeros,Cabify,35,Masculino,Secundaria / Bachillerato,1,40.2,1803900,853200,950700,1.35,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.89,2021-05-18,2021,5,F-PRIM-01
GIG-00070,Regional,Colombia,COL,Caldas,Manizales,Fisica / Basada en Ubicacion,Reparto y Domicilios,PedidosYa,35,Masculino,Tecnico / Tecnologo,16,44.6,1247700,360200,887500,1.13,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.99,2024-10-25,2024,10,F-SEC-01
GIG-00071,Regional,Colombia,COL,Valle del Cauca,Cali,Fisica / Basada en Ubicacion,Reparto y Domicilios,Rappi,32,Masculino,Secundaria / Bachillerato,17,57.0,1847800,454900,1392900,1.39,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.96,2022-05-09,2022,5,F-SEC-02
GIG-00072,Regional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Servicios del Hogar y Mantenimiento,Jelpit,27,Masculino,Secundaria / Bachillerato,45,20.4,1880900,408400,1472500,4.12,Fuente complementaria / Secundaria (<50%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.86,2023-09-11,2023,9,F-SEC-02
GIG-00073,Regional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Transporte de Pasajeros,Cabify,34,Masculino,Secundaria / Bachillerato,5,48.2,2542400,1267400,1275000,1.51,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.96,2023-09-22,2023,9,F-SEC-01
GIG-00074,Regional,Colombia,COL,Antioquia,Medellin,En linea / Basada en la Nube,Diseno Multimedia y Contenido,99designs,20,Femenino,Tecnico / Tecnologo,1,36.9,3804700,633100,3171600,4.9,Fuente complementaria / Secundaria (<50%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),4.95,2024-03-26,2024,3,F-SEC-01
GIG-00075,Regional,Colombia,COL,Atlantico,Barranquilla,Fisica / Basada en Ubicacion,Reparto y Domicilios,PedidosYa,39,No binario / Otro,Universitario,11,75.5,1729300,613100,1116200,0.84,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),Cotiza activamente,Si (Afiliado a Riesgos Laborales),4.89,2021-05-18,2021,5,F-SEC-01
